__sdc_row_number,cases,country,date,datetime,deaths,git_file_name,git_html_url,git_last_modified,git_owner,git_path,git_repository,git_sha,git_url,nuts_3,hospitalized,intensive_care,tests
19,793.0,CH,2020-04-07,2020-04-07T00:00:00Z,19.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Aargau,63.0,25.0,
2,50.0,CH,2020-04-07,2020-04-07T00:00:00Z,1.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Schaffhausen,3.0,3.0,
20,808.0,CH,2020-04-07,2020-04-07T00:00:00Z,28.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Basel-Stadt,83.0,14.0,
21,1348.0,CH,2020-04-07,2020-04-07T00:00:00Z,37.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Berne,88.0,34.0,
22,1505.0,CH,2020-04-07,2020-04-07T00:00:00Z,61.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Valais,106.0,25.0,
23,2599.0,CH,2020-04-07,2020-04-07T00:00:00Z,198.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Ticino,263.0,72.0,
24,2675.0,CH,2020-04-07,2020-04-07T00:00:00Z,56.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Zürich,181.0,0.0,
25,4274.0,CH,2020-04-07,2020-04-07T00:00:00Z,132.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Geneva,337.0,48.0,17015.0
26,4495.0,CH,2020-04-07,2020-04-07T00:00:00Z,162.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Vaud,289.0,75.0,
27,23736.0,CH,2020-04-07,2020-04-07T00:00:00Z,883.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,,1762.0,399.0,17657.0
3,60.0,CH,2020-04-07,2020-04-07T00:00:00Z,0.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Obwalden,2.0,,
4,63.0,CH,2020-04-07,2020-04-07T00:00:00Z,2.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Glarus,2.0,,
5,68.0,CH,2020-04-07,2020-04-07T00:00:00Z,2.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Uri,7.0,,
6,69.0,CH,2020-04-07,2020-04-07T00:00:00Z,3.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Appenzell Ausserrhoden,,,
7,87.0,CH,2020-04-07,2020-04-07T00:00:00Z,,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Nidwalden,7.0,2.0,
8,157.0,CH,2020-04-07,2020-04-07T00:00:00Z,3.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Zug,7.0,8.0,
9,163.0,CH,2020-04-07,2020-04-07T00:00:00Z,0.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Jura,30.0,5.0,
