Index,Date,Open,High,Low,Close,Adj Close,Volume
ASDF,1965-12-31,528.690002,528.690002,528.690002,528.690002,528.690002,0
ASDF,1966-01-03,527.210022,527.210022,527.210022,527.210022,527.210022,0
ASDF,1966-01-04,527.840027,527.840027,527.840027,527.840027,527.840027,0
ASDF,1966-01-05,531.119995,531.119995,531.119995,531.119995,531.119995,0
ASDF,1966-01-06,532.070007,532.070007,532.070007,532.070007,532.070007,0
