country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
JPN,Japan,Higashi-Dori,WRI1000675,1100.0,41.1880,141.3903,Nuclear,,,,,Tohoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,8787.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Ikata,WRI1000686,2022.0,33.4909,132.3088,Nuclear,,,,,Shikoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1028658,,,,,,,,,,,,,,16152.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Kashiwazaki Kariwa,WRI1000679,8212.0,37.4259,138.5941,Nuclear,,,,,Tokyo,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,65600.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Mihama,WRI1000682,826.0,35.7024,135.9634,Nuclear,,,,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,6598.37,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Ohi,WRI1000684,4710.0,35.5424,135.6544,Nuclear,,,,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1020441,,,,,,,,,,,,,,37625.12,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Onagawa,WRI1000676,2174.0,38.4000,141.5000,Nuclear,,,,,Tohoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,17366.67,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Sendai,WRI1000688,1780.0,31.8335,130.1887,Nuclear,,,,,Kyushu,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,14219.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Shika,WRI1000681,1746.0,37.0609,136.7265,Nuclear,,,,,Hokuriku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,13947.65,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Shimane,WRI1000685,820.0,35.5379,132.9991,Nuclear,,,,,Chugoku,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,6550.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Takahama,WRI1000683,3392.0,35.5223,135.5036,Nuclear,,,,,Kansai,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1020472,,,,,,,,,,,,,,27096.48,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Tokai Daini,WRI1000689,1100.0,36.4215,140.6028,Nuclear,,,,,Japan Atomic Power Co.,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,8787.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Tomari,WRI1000674,2000.0,43.0367,140.5125,Nuclear,,,,,Hokkaido,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,,,,,,,,,,,,,,,15976.69,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
JPN,Japan,Tsuruga,WRI1000690,1160.0,35.7519,136.0189,Nuclear,,,,,Japan Atomic Power Co.,Japanese Electric Power Information Center,https://www.jepic.or.jp/en/,GEODB,1018697,,,,,,,,,,,,,,9266.48,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
MEX,Mexico,Laguna Verde,MEX0001769,1510.0,19.7208,-96.4064,Nuclear,,,,,CFE,CFE-CENACE,http://base.energia.gob.mx/nacei/Archivos/3%20P%C3%A1gina%20Datos%20de%20Infraestructura/Ingl%C3%A9s/PowerPlantsAllGE100MW_NorthAmerica_201606.xlsx,North American Cooperation on Energy Information and Comisión Reguladora de Energía,1013090,2016,,,,,,,,,,,,,10020.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
NLD,Netherlands,Borssele Nuclear Power Station,WRI1019300,485.0,51.4312,3.7174,Nuclear,,,,1973.0,EPZ,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=NL,WRI,1016600,,,,3674.924,3726.4,3220.584,,,JRC-PPDB-OPEN,,,,,3203.82,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
PAK,Pakistan,Chasnupp,WRI1001626,1330.0,32.3920,71.4616,Nuclear,,,,,Pakistan Atomic Energy Commission,Islamabad Chamber of Commerce and Industry,http://icci.com.pk/data/downloads/63/1293619048_1.pdf,GEODB,1025125,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
PAK,Pakistan,Kanupp,WRI1001625,137.0,24.8450,66.7888,Nuclear,,,,1971.0,Pakistan Atomic Energy Commission,Islamabad Chamber of Commerce and Industry,http://icci.com.pk/data/downloads/63/1293619048_1.pdf,GEODB,1025126,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
ROU,Romania,NPP Cernavoda,WRI1019093,1298.0,44.3215,28.0568,Nuclear,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,GEODB,1027021,,,,,,,,,,,,,,10374.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Balakovo NPP,WRI1023915,4000.0,52.0928,47.9539,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Balakovo_NPP,WRI,1022693,,,,,,,,,,,,,,28565.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Beloyarsk,WRI1003666,1480.0,56.8417,61.3225,Nuclear,,,,1964.0,Rosatom,IAEA,http://www.rosenergoatom.ru/wps/wcm/connect/rosenergoatom_copy/site_en/NPP/,CARMA,1022694,,,,,,,,,,,,,,10569.20,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
RUS,Russia,Bilibino,WRI1003671,48.0,68.0503,166.5389,Nuclear,,,,,"JSC ""Concern Rosenergoatom""",EnergyBase (RUS),https://energybase.ru/power-plant/Bilibino_NPP,GEODB,1022695,,,,,,,,,,,,,,342.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
